Skip,Rederi,Location,Type skip,Type opplag,Bilde,Flagg,Dato inn,Dato ut,Rederi Valgbokser,Sist oppdatert
Sea Trout,Deep Sea Supply,"58.11782, 7.045235",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Deep-sea-sea-trout.jpg,Kypros,2015-05-06,,Deep Sea Supply,
Northern Wave,DeepOcean Shipping,"59.42211, 5.251369",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Northern-Wave.jpg,NOR,2015-05-11,,DeepOcean Shipping,
Bourbon Pearl,Bourbon Offshore," 37.43657, 24.94023",Subsea,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/05/Bourbon-Pearl.jpg,NIS,2015-02-11,2016-02-04,Bourbon,
Eide Traveler,Eide Marine,"59.78831, 5.793618",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/eide-traveler.jpg,Bahamas,2015-05-11,,Eide Marine,
Far Spica,Farstad,,PSV,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/05/Far-Spica.jpg,UK,2015-05-11,2015-08-12,Farstad,
Dina Alliance,Myklebusthaug,"60.80902, 4.973742",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Myklebusthaug_Management.jpg,Marshalløyene,2015-05-11,,Myklebusthaug,
Maersk Shipper,Maersk,"57.68184, -4.223166",AHTS,Utenlandsk rederi,http://www.maritime.no/wp-content/uploads/2015/05/maersk_shipper_-_Google_Search.jpg,UK,2015-05-11,,Maersk,
NSO Spirit,Nor Supply,"59.77908, 5.503957",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/NSO_Spirit1.jpg,Bahamas,2014-12-16,,Nor Supply,
Skandi Fjord,DOF,,PSV,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/05/Skandi_Fjord_web02.jpg,Bahamas,2015-03-11,2015-08-19,DOF,
Maersk Tackler,Maersk,"35.4909, 24.07772",AHTS,Utenlandsk rederi,http://www.maritime.no/wp-content/uploads/2015/05/Maersk_Tackler_ship_2009_001-1.jpg,Danmark,2015-07-14,,Maersk,
NSO Fortune,Nor Supply,"59.77898, 5.504202",PSV,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/05/NSO_Fortune.jpg,Gibraltar,2015-05-11,,Nor Supply,
Stril Commander,Møkster,"58.99459, 5.692215",AHTS,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Stril_Commander_-_Simon_Møkster_Shipping.jpg,NOR,2015-01-05,,Møkster,
Geo Barents ,Uksnøy og Co AS,,Seismikk,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/05/Uksnøy-Geo-Barents.jpg,NIS,2014-11-11,2015-07-30,Uksnøy og co,
Blue King,Golden Energy Offshore,"62.33939, 5.824183",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Blue-King1.jpg,NOR,2015-04-15,,Golden Energy Offshore,
