 , , ,Key information,,,,,Investments,,,Frame agreement,,,,,,Field development,,,,Subsea development,,,,,,,,, Drilling wells,,,Remaining oil and gas reserves,,,,Total reserves estimate,,,,Export technology,,,Destination,,,Helicopter,,,Supply base,Statistics,,,,,,,,, ,, , , , , , , ,Extra,TEMP_Top reservoir depth, , 
Field name,Activity status,Operator,Discovery,On stream,Prod. license,"Location (NS, NOS, BS)",Water depth (m),Total,So far in 2010,Remaining inv.,M&M,M&M contract expires,ISO,ISO contract expires,Drilling and well,Drilling and well contract expires,Production vessel/structure,Production/Drilling/Quarters,Material,Additional info,Subsea company,Subsea template,Total trees,FMC,AKS,GE,CAM,Subsea tieback,Tieback distance (km),Exploration,Development,Top reservoir depth,Oil (Sm3),Oil barrels (bbl),At current oil price,Gas (Sm3),Oil (Sm3),Gas (Sm3),Condensate (Sm3),NGL (mt),Oil,Gas,Condensate,Oil,Gas,Condensate,Flight service,Flight base,Offshore based,Supply base,Top water depth,Top investments,Top remaining investments,Top oil discovery,Top gas discovery,Top remaining oil reserves,Top remaining gas reserves,Top remaining condensate reserves,Top remaining NGL reserves,Field information,Captionimage,Imagebase,Source,NPDID owner,NPDID field,NPDID wellbore,NPDID company,Lastupdated,Investment details,From,Last Edited,Created On
UTGARD (ALFA SENTRAL),PUD,Statoil,,,,NOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTERIX,FUTURE PROJECTS,Statoil,2009,,"327, 327 B",NOS,1335,,,,,,,,,,To be announced,,,,,,,,,,,,,,,"3,200",,0,0,"17,800,000,000",,"17,800,000,000","300,000",,,,,,,,,,,,1,NA,NA,NA,33,NA,21,18,NA,Asterix(6705/10-1) ble oppdaget i 2009. Funnet er lokalisert i Vøringsbassenget i Norskehavet. Den mest sannsynlige utbyggingsløsingen er havbunnrammer knyttet til den framtidige infrastrukturen på Aasta Hansteen.,,,,,,,,,,,8/30/2013 7:49:23,5/30/2013 12:07:40
ASTERO (Byrding),PUD,Statoil,2005,2017,090 B,NS (N),361,,,,,,,,,,FPSO,P,Steel,,,,0,,,,,Troll B / Gjøa,,,,"3,100","3,400,000","21,386,000","2,459,390,000","600,000,000","3,400,000","600,000,000",,,,,,,,,,,,,21,NA,NA,82,99,59,70,NA,NA,Astero(35/11-13) ligger 8 km nord for Fram Vest feltet. Den nåværende planen er å etablere et utbyggingskonsept innen 2012. Flytende produksjonsenhet(FPSO) er vurdert. Planlagt produksjonsoppstart er i 2016.,FPSO,,,,,,,,,,5/21/2013 15:34:45,6/8/2012 18:47:57
BETA BRENT,FUTURE PROJECTS,Suncor,2010,,375,NS (N),374,,,,,,,,,,To be announced,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,12,NA,NA,NA,NA,NA,NA,NA,NA,"Beta-funnet(34/4, 34/5) ligger 15 km nordvest for Snorre og ble avgrenset med et vellykket resultat 2010. Likevel er ikke partnerskapet sikre på om funnet er kommersielt.",To be announced,,,,,,,,,,6/26/2013 13:06:41,6/8/2012 18:47:57
BREAM,FUTURE PROJECTS,BG Norge,1972,2015,407,NS (S),110,,,,,,,,,,FPSO,P,Steel,,,,0,,,,,,,,,"2,300","6,800,000","42,772,000","4,918,780,000",,"6,800,000",,,,,,,,,,,,,,90,NA,NA,68,NA,40,NA,NA,NA,"Bream(17/12-1) ligger omtrent 50 km nordvest for Ymefeltet. Funnet ble levert tilbake i 1994 og tildelt på nytt i 2007 til utvinningsløyve 407. Flere mulige utbyggingsløsninger er vurdert, inkludert FPSO, brønnhodeplattform og havbunnsutbygging med tilknyting til Yme. Den mest sannsynlige utbyggingsløsingen er en leid FPSO. Mulig produksjonsstart er 2017.",FPSO,bream-1.jpg,,,,,,,,,5/21/2013 14:49:49,6/8/2012 18:47:57
BUTCH,FUTURE PROJECTS,Centrica,2011,,405,NS (S),70,,,,,,,,,,To be announced,,,,,,0,,,,,,,,,,"7,200,000","45,288,000","5,208,120,000",#N/A,"7,200,000",#N/A,,,,,,,,,,,,,123,NA,NA,66,1,39,1,NA,NA,Butch(8/10-4 S og 8/10-4 A) ble oppdaget i 2011. Butch kan bygges ut med en egen plattform. Alternativt blir det en undervannsutbygging knyttet til Ula- eller Talismans-feltet.,,,,,,,,,,,8/30/2013 7:54:30,6/29/2012 10:55:11
DELTA,FUTURE PROJECTS,Wintershall,1976,,037D,NS (N),156,,,,,,,,,,To be announced,,,,,,0,,,,,,,,,"3,000","100,000","629,000","72,335,000",,"100,000",,,,,,,,,,,,,,58,NA,NA,113,NA,97,NA,NA,NA,"Delta(33/9-6 ) ble påvist i 1976 og ligger nær grensen til britisk sokkel mellom feltene Murchison og Statfjord Nord. Det er boret en brønn fra Murchison-innretningen på britisk side for å avgrense reservoaret, og prøveutvinning blir for tiden gjennomført i denne brønnen. Dette skal fortsette frem til Murchison blir stengt ned i 2013/2014",To be announced,,,,,,,,,,5/21/2013 9:59:11,6/8/2012 18:47:57
EIRIN,FUTURE PROJECTS,Statoil,1978,2016,048 E,NS (M),120,"8,064,000,000",0,"8,064,000,000",,,,,,,Subsea template,,Steel,,,,0,,,,,Dagny,9,,,"4,120",,0,0,"7,900,000,000",,"7,900,000,000","300,000","100,000",,,,,,,,,,,73,63,25,NA,49,NA,29,18,73,"Eirin(15/5-2) ligger omtrent 40 km nord for Sleipner A innretningen, og omtrent 9 km nordvest for funnet Gina Krog.  Utbyggingsløsningen blir trolig en havbunnsramme med 4 brønnlisser og to brønner knyttet til den planlagte Gina-Krog-innrettningen. Eirin skal bygges ut parallelt med Dagny.  <br><br><strong>Tidstabell for feltet:</strong><br>2013 Q4: Innlevering av PUD <br>2017: Planlagt produksjonsstart",Subsea template,,,,,,,,,,6/28/2013 14:03:00,6/8/2012 18:47:57
ERLEND,FUTURE PROJECTS,Statoil,1999,,"199, 257",NOS,293,,,,,,,,,,To be announced,,,,,,,,,,,,,,,"4,560","900,000","5,661,000","651,015,000","1,000,000,000","900,000","1,000,000,000",,"200,000",,,,,,,,,,,39,NA,NA,100,95,80,64,NA,65,Erlend(6406/2-7) er lokalisert sørvest for Kristinfeltet. Funnet ble påvist i 1999. Den mest sannsynlige utbyggingsløsingen er en havbunnramme knyttet til infrastrukturen på Kristin.,,,,,,,,,,,6/26/2013 13:05:43,4/24/2013 14:29:04
