 , , , , ,Rig information,,,,,Rig Ratings,,Contract information,,,Vessel particulars,,,,,,,,,Vessel particulars continued,,,,,,,Lifting equipment,,,,,Drilling equipment,,,,,,,,,,,,Mud systems,,,,,,,,Riser & Riser tensioner data,,,,,,,BOP & BOP control data,,,,,,,,,Landing facilities,, , ,  , , 
 , ,  , , ,Vessel type,Vessel design,Construction date,Upgrade date,Classification,Maximum water depth rating,Maximum drilling depth,Status,Current contract,Area of operations,Total vessel power,Maximum vessel speed(transit speed),Quarters capacity,Length,Width,Transit draft,Operation draft,Maximum variable load (operating/survival),Moonpool size (ft. X ft),Thrusters (No. And H.P),Size of chain,Chain grade,Length of chain,Wire rope diameter,Length of wire rope,Anchor size (No x M.T),Pedestal crane 1,Pedestal crane 2,Pedestal crane 3,Pedestal crane 4,Riser handling crane,Derrick rating,Derrick manufacturer,Derrick footprint (ft.  X ft. X ft),Drawworks,Drawworks,Drill line size,Rotary table size,Iron roughneck,Top drive,Heave compensator(motion compensator),Heave compensator capacity (operating/pinned)),Pipe racking system,Mud pumps,Mud Pumps,Liquid Mud,Fuel Oil,Bulk storage capacity (mud/cement or total),Shale shakers,Desander,Desilter,Riser tensioner(total capacity),Riser tensioners,Riser tensioners,Diverter size,Riser size,Riser joint length,Riser manufacturer,BOP Operating pressure,C&K line size,Ram BOP's,Ram BOP's,Annular BOP's,Annular BOP's,Wellhead connector,BOP control system,BOP control system,Helideck (type),Helideck size (ft. x ft.),Imagebase,Caption image,Rig Information,Last Edited On,Created On
Rigid,Rig,Owner,Leaseholder, Current Status, , ,Yr.,Yr.,society,ft.,ft., ,expiration (Yr./month, ,H.P,knots,persons,ft.,ft.,ft.,ft.,M.T. , , ,In., ,ft.,in.,ft., ,M.T.,M.T.,M.T.,M.T.,M.T.,Max Hook kips,Name, ,H.P.,Manufacturer,In.,In.,Manufacturer & Model,Manufacturer & Model,Manufacturer,Kips ,Model,No.,Manufacturer & Model,bbls.,bbls.,Cu. ft.  ,No.,No.,No.,kips, ,Manufacturer,In.,O.D. In.,ft.,Manuf.,Ksi ,I.D. In.,No.,Manuf.,No.,Manuf.,Type,Type,Manuf., , , , , ,2/7/2014 0:10:55,1/24/2014 3:44:13
1,Eirik Raude,Ocean Rig,Africa Petroleum/TBA,Aktiv,SS,Trosvik Bingo 9000,2002,,DNV+1A1,"10,000","30,000",Active,2014/10,Africa,"61,200",6-7,140 (120 NCS),392,279,39.4,77.9,5900/5900,23x47,6x7370,"3,3""",,,"2,76""",3281,8x15,75,75,,,,2000,Hydralift,170x40x40,4000,Continental Emsco,"2""","60,5""",NOV HydraTong,Hydralift HPS 1000 2E AC,Hydralift,1000/ 2000,"Hydralift, HydraRacker",3,Continental Emsco FC-2200,"10,402","29,130",12360/ 12360,5,1,,3200,8,Hydralift,"24,5""","21""",75,Vetco,15,"3,06""",4,Cameron,2,Cameron,Vetco Super HD H4,MUX,Cameron,-,74x74,"ErikRaude-1.jpg, ErikRaude-2.jpg, ErikRaude-3.jpg",semisubmersible,,2/7/2014 2:59:51,6/8/2012 7:36:15
2,Energy Endeavour,Northern Offshore,Maersk Olie og Gas,Aktiv,JU,Gusto Independent 3leg cantilever,1982,,DNV,300,"25,000",Active,2014/11,Holland,9900,5,96,226,259,22.75,,"2,693",,,,,,,,"4x7,48",50,28,,,5,1000,Dreco,160x30x30,2000,NOV,,"49,5""",NOV AR70,NOV TDS-4H,,,,3,NOV 12-P-160,"1,635","3,171",4500/4500,4,,,,,,,,,,10,"3""",3,Cameron,2,Shaffer,,Hydraulic,Koomey,Sikorsky S-61N,83x83,"EnergyEndeavour-1.jpg, EnergyEndeavour-2.jpg",semisubmersible,,3/7/2014 4:57:04,6/8/2012 7:37:29
3,Ensco 70,ENSCO,RWE Dea,Aktiv,JU,Hiatchi K1032N,1981,1996,ABS,250,"25,000",Active,2014/02,UK,"6,075",4.5,90,230,250,15.3,,"4,830",,,,,,"1,5""",2132,"1x5,5",39,29,,,,1500,Dreco,160x30x30,3000,NOV,,"37,5""",NOV AR3200,NOV TDS-4S,,,PH-85 pipe handler,3,NOV 12-P-160,"1,732","2,198",5000/5000,4,2,20,,,,"49,5""",,,,10,"3,0625""",3,Cameron,1,Hydril,,,Shaffer Koomey,Sikorsky S-61,-,"Ensco70-1.jpg, Ensco70-2.jpg",semisubmersible,,2/7/2014 0:34:12,1/24/2014 3:31:00
4,Ensco 71,ENSCO,Maersk Olie og Gas,Aktiv,JU,Hiatchi K1032N,1982,1995,ABS,225,"25,000",Active,2014/05,Denmark,"8,150",4.5,80,230,250,15.25,,"4,762",,,,,,"1,73""",2132,"4x4,5",60,39,,,,1500,Dreco,160x30x30,2000,NOV,,"37,5""",NOV AR3200,NOV TDS-4H,,,PH-85 pipe handler,3,NOV 12-P-160,"1,813","2,950",5000/5000,4,1,20,440,4,,"49,5""",,,,10,"3,0625""",3,Cameron,1,Hydril,,,Koomey,"Sikorsky S-92, EH 101",-,Ensco71-1.jpg,semisubmersible,,2/7/2014 0:34:11,1/24/2014 3:30:41
5,GSF Monarch,Transocean,Maersk/GDF Suez,Aktiv,JU,Friede & Goldman L-780 Mod V,1986,,ABS,361,"30,000",Active,2015/06,UK,"8,260",,98,228,222,17,,3360/,30x52,,,,,,,7.5,39,39,39,,,1400,J Paris,160x36X36,3000,Continental Emsco,"1,5""","49,5""",NOV AR3200,NOV TDS-4S,,,,3,Continental Emsco FB-1600,"2,237",,"12,600",5,,  ,,,,"49,5""",,,,10,"3,06""",4,Shaffer,1,Hydril,,Hydraulic,Koomey,-,-,"Monarch-1.JPG, Monarch-2.jpg",semisubmersible,,3/7/2014 5:16:24,6/8/2012 7:37:29
6,Maersk Resolve,Maersk Drilling,EON/DONG,Aktiv,JU,MSC CJ 50-X100 MC,2009,,ABS,350,"30,000",Active,2016/07,Denmark,"9,920",,120,229,223,,,/4500,,,,,,,,,80,80,12,,,1500,MH,210x45x45,4500,Wirth GH,"1,75""","49,5""",MH Torquqmaster,MH DDM-750-AC,,,,3,Wirth TPK,"6,000","3,400",10550/7050,4,,,600,4,,"49,5""",,,,15,"3,06""",4,Hydril,1,Hydril,,Hydraulic,Hydril,Sikorsky S-61N & EH-101,74x74,"MaerskResolve-1.jpg, MaerskResolve-2.jpg, MaerskResolve-3.jpg",semisubmersible,,3/24/2014 1:16:22,6/8/2012 7:37:29
7,Paragon C20052,Paragon Offshore,Centrica,Aktiv,JU,CFEM T-2005-C ,1982,,DNV+1A1,256,"30,000",Active,2014/05,UK/Holland,"6,600",,100,245,283,14.6,,"2,694",,,,,,,,,40.8,85,,,,1000,Joseph Paris,160x36x36,2000,NOV,,"37,5""",NOV AR3200,NOV TDS-4S,,,,3,NOV 12-P-160,"1,925","2,440",11000,4,1,,,,,"49,5""",,,,10,,3,Cameron,1,Hydril,,,Koomey,-,-,NobleByronWelliver-1.jpg,jackup,,2/20/2015 4:04:20,6/8/2012 7:37:29
8,Ocean Guardian,Diamond Offshore,Shell,Aktiv,SS,Earl & Wright Sedco 700 Series,1985,,ABS+A1,"1,500","25,000",Active,2015/07,UK,"13,000",8,102,227.5,197,21,83.5,3125/-,19x20,,"3""",K4,4500,,,8x12,54,56,,,,1333,Dreco,185x50x40,2500,NOV,"1,5""","49,5""",NOV AR3200,NOV TDS-4S,Brown Brothers,600,PH-85 pipe handler,3,NOV A1700-PT,"1,893","2,216","18,166",4,,,800,10,Shaffer,"24""","21""",50,NOV Shaffer,15,"3,0625""",2,Cameron,2,Cameron,,,,Sikorsky S-61,89x83,"OceanGuardian-1.jpg, OceanGuardian-2.jpg, OceanGuardian-3.jpg",semisubmersible,,1/24/2014 2:48:05,1/24/2014 3:54:06
