Rigid,Rigname,Type,Operatorcompany,From year,From month,From day,To year,To month,To day,Dayrate,Kommentarer,LastEditedOn,CreatedOn
1,Eirik Raude,Kontrakt,Anadarko,2012,1,,2012,5,,"$535,000",,6/17/2012 10:37:15,6/8/2012 8:55:53
1,Eirik Raude,Kontrakt,Ophir,2012,6,,2012,8,,"$648,000",,6/17/2012 10:40:02,6/8/2012 8:55:53
1,Eirik Raude,Avvik,Yard,2012,9,,2012,9,,$0,10 year SPS,9/11/2012 23:46:33,6/8/2012 8:55:53
1,Eirik Raude,Kontrakt,Africa Petroleum,2012,10,,2013,1,,"$625,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
1,Eirik Raude,Kontrakt,ExxonMobil,2013,2,,2013,9,,"$545,000",,6/18/2013 0:48:50,9/11/2012 23:42:13
1,Eirik Raude,Kontrakt,Lukoil,2013,10,,2014,11,,"$575,000",,8/11/2014 23:57:38,3/7/2013 1:41:54
1,Eirik Raude,Kontrakt,Premier Oil,2015,1,,2016,1,,"$630,000",,2/27/2015 1:36:54,8/11/2014 23:54:04
1,Eirik Raude,Avvik,Stacked,2016,2,,2020,1,,$0,,7/28/2015 2:33:46,2/27/2015 1:36:33
2,Energy Endevaour,Kontrakt,Maersk Oil,2011,4,,2013,5,,"$100,000",,2/19/2013 23:53:57,6/8/2012 8:55:53
2,Energy Endevaour,Kontrakt,ADTI,2013,6,,2013,7,,"$155,000",,2/19/2013 23:52:46,2/19/2013 23:51:23
2,Energy Endevaour,Kontrakt,Wintershall,2013,10,,2014,11,,"$160,000",,3/7/2014 1:54:08,12/13/2013 3:12:01
2,Energy Endevaour,Avvik,IDLE,2015,1,,2020,1,,$0,Contract terminated,9/14/2015 2:42:57,8/13/2014 23:35:16
3,Ensco 70,Kontrakt,RWE Dea,2013,1,,2013,8,,"$80,000",Plus five 1-well unpriced options,6/20/2013 4:39:32,6/8/2012 8:55:53
3,Ensco 70,Avvik,Yard,2013,9,,2014,3,,$0,,12/10/2013 4:48:05,1/8/2013 1:34:22
3,Ensco 70,Kontrakt,RWE Dea,2014,4,,2014,10,,"$140,000",,3/7/2014 1:29:10,6/20/2013 4:48:13
3,Ensco 70,Kontrakt,Maersk Oil,2014,11,,2015,2,,"$160,000",,3/18/2015 1:17:13,12/10/2013 4:49:05
3,Ensco 70,Avvik,Cold stacked,2015,2,,2020,1,,$0,Contract terminated,8/4/2015 2:05:50,3/18/2015 1:16:40
4,Ensco 71,Kontrakt,Maersk Oil,2012,1,,2015,5,,"$170,000",Plus two 1-year options,1/15/2015 3:18:23,6/8/2012 8:55:53
4,Ensco 71,Avvik,Yard,2015,6,,2015,6,,,Plannend inspection,3/18/2015 1:18:53,3/18/2015 1:18:28
4,Ensco 71,Kontrakt,Maersk Oil,2015,7,,2018,6,,"$225,000",,7/21/2015 4:51:39,7/21/2015 4:50:35
5,GSF Monarch,Kontrakt,Maersk Oil,2011,7,,2013,6,,"$94,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
5,GSF Monarch,Kontrakt,GDF Suez,2013,9,,2015,4,,"$160,000",,4/24/2015 1:57:54,4/19/2013 3:45:02
5,GSF Monarch,Avvik,Stacked,2015,6,,2020,1,,$0,,8/31/2015 5:49:32,7/21/2015 5:11:38
6,Maersk Resolve,Kontrakt,DONG,2012,3,,2012,5,,Private,Day rate is private,6/12/2012 2:29:49,6/8/2012 8:55:53
6,Maersk Resolve,Kontrakt,ConocoPhillips,2012,6,,2012,12,,Private,Day rate is private,1/8/2013 4:39:08,6/8/2012 8:55:53
6,Maersk Resolve,Kontrakt,EON Ruhrgas,2013,1,,2013,7,,Private,Day rate is private,6/21/2013 2:36:16,6/8/2012 8:55:53
6,Maersk Resolve,Kontrakt,DONG,2013,8,,2014,4,,Private,,3/7/2014 1:42:58,6/8/2012 8:55:53
